问题,类别
董秘，你好2个问题。第一：国庆黄金周旗下旅游消费去了线下非常繁忙，请问国庆黄金周的销售及营收在第几季度报中。第二：上海市针对上海消费型企业开放出消费卷等刺激性活动，在电商节的时候比如国庆节，双11等大型消费节刺激下，贵司在消费领域，有无增项，列如把实体店铺搬上网络，淘宝抖音快手等大型直播消费类平台。,生产经营情况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
董秘你好， 2个问题。第一：随着国外针对旅游业的完全放开，请问贵司在国外旅游业的营收国际结算是否是美金计算，针对美金兑人民币，公司是否享受到汇率的利好。第二：贵司目前旗下有租售业务，请问贵司旗下用于营收的租金店面大致面积有多少平方。,公司基本状况
公司近2年有针对内部员工的股权激励计划吗？,生产经营情况
您好，像微芯生物这样的原创药企业中国应该找不到第二家，不过公司销售确实有点差劲，希望公司抓一抓销售，让公司的创新药惠及病人。,生产经营情况
董秘您好，关注到贵公司的雾化电子烟烟杆和烟弹都已经过了国标审核，请问现在中烟给我们批复的烟弹配额（烟弹生产规模）是多少？,生产经营情况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问截止2022年10月10日收盘，公司的股东户数是多少？非常感谢能够尽快回复。,股东与股权变动
贵公司近期有没有受疫情及人民币贬值影响,生产经营情况
董秘您好，请问今年中秋节粽子销量如何？销售金额相较去年是否有增加？,生产经营情况
请问截至到2022年9月30日 贵广网络的股东总户数为几户？ 请及时回答，谢谢,股东与股权变动
贵州白酒改革政策东风，请问贵广网络未来三个月里有没有习酒借壳上市计划？谢谢,生产经营情况
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
公司的出口业务是用人民币结算还是美元结算？现在人民币贬值对公司是利好还是利空？影响大吗？,生产经营情况
董秘你好！最近朋友需要买一台重卡，想买贵司氢能源的，一来价格显著高于传统燃油车，二来加氢站或许并不完备，担心跑长途路上趴窝，请问贵司是否有氢能源重卡后置补贴？目前贵司售出多少台、用户普遍反馈如何？一次加氢，规定负荷载重情况下，续航里程有多少？贵司是否支持购车融资租赁、分期付款等业务？,公司基本状况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
董秘，您好！公司涉及投资、开发、生产、工程设计施工、科技咨询服务等各种业务，请问公司现在是采取何种方式签署各业务合同呢，有采取电子合同签署方式吗，比如契约锁电子合同？,生产经营情况
您好，海正药业分的双洛平中国大部分省销售权，请问如果海正药业销售不上心，公司有没有限制海正药业的合同条款？别创新药最后因为海正药业销售不得力而无人知道。,生产经营情况
截止9月19日股东户数是多少？,股东与股权变动
您好，别的品牌均有新鲜短保粽子出售，但公司目前在售的粽子都是真空包装粽子，但查阅相关信息发现，公司在去年就推出了锁鲜粽，然而该产品在线上已经下架，请问是什么原因导致？,公司基本状况
最近长江流域降水大幅减小，出海口受咸潮入侵。公司是否考虑利用自有海水淡化技术为解决该困难做出贡献，并扩展业务做大做强,生产经营情况
您好，请问双洛平2022年上半年线上平台销售额是多少？双洛平2022年上半年海正药业销售额是多少？如果细算海正药业2022年上半年销售额也就几十万，真么多省份海正药业一个月15万的销售额这就是海正药业的合作诚意吗？,生产经营情况
公司研发费用主要发生在母公司还是各个项目公司主体上？2022年上半年研发费用发生在母公司、国内项目、泰国项目的占比能否大概说一下？,生产经营情况
公司有基于基因组学的评价体系，是否考虑研发抗衰老和长寿药呢？,生产经营情况
关注到一则新闻 : "财联社记者从玲珑轮胎获悉，公司塞尔维亚工厂目前已经投产，产能处于爬坡阶段。虽然俄乌冲突仍在持续，但塞尔维亚国内能源价格保持稳定，公司生产成本没有增加。"， 想请问下董秘， 塞尔维亚工厂是否真的已经投产， 还是想证实一下.,生产经营情况
马总好： 请问贵公司股东数是多少？,股东与股权变动
请问截至2022年9月30日，贵公司股东人数是多少？谢谢,股东与股权变动
请问董秘，9月底贵公司股东人数？,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问截止9月30日的最新股东人数？谢谢。,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
你们均瑶在乳酸菌饮品细分领域有清晰的竞争优势，请问下，你们有没有拓宽能力边界涉及矿泉水业务呢?个人很看好这块业务的市场前景和空间,公司基本状况
贵公司实际控股人宿青燕增持时间已过半，为啥没有披露增持的相关信息？,股东与股权变动
如何看待目前当前公司的价值? 董事长马总多次增持彰显发展信心，其他管理层如何认为的呢？,股东与股权变动
公司有没有进军国产大飞机仪表仪器及自动系统装置的计划？,生产经营情况
董秘你好！最近朋友需要买一台重卡，想买贵司氢能源的，一来价格显著高于传统燃油车，二来加氢站或许并不完备，担心跑长途路上趴窝，请问贵司是否有氢能源重卡后置补贴？目前贵司售出多少台、用户普遍反馈如何？一次加氢，规定负荷载重情况下，续航里程有多少？贵司是否支持购车融资租赁、分期付款等业务？,公司基本状况
尊敬的董秘您好，听闻现在美国已经开始限制美国人员在没有许可证的情况下，在中国境内的某些半导体制造“设施”支持集成电路的开发或生产；贵公司董事长等人均为美国籍，请问是否会对企业经营造成影响，公司有什么应对措施吗,生产经营情况
贵公司有脑机接口技术吗？,生产经营情况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
公司研发费用主要发生在母公司还是各个项目公司主体上？2022年上半年研发费用发生在母公司、国内项目、境外项目的占比能否大概说一下？,生产经营情况
您好！请问截止9月底公司股东人数是多少，谢谢！,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
董秘您好，请问截止9月30日收盘的股东人数，谢谢，祝节日快乐！,股东与股权变动
请问，截至2022年8月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年5月31日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年5月20日，公司的股东数是多少？谢谢,股东与股权变动
公司近几日股价连续大跌，请问公司经营基本面是否出现重大变化？今年三季报是否远不及预期，业绩是否有提前预告的计划？,生产经营情况
贵公司产品有的芯片是自研的还是外购的，是多少nm的芯片?,公司基本状况
请问公司现有电池铝箔产能多少吨？尚未投产在规划的产能多少？,生产经营情况
根据《上海证券交易所上市公司自律监管指引第7号——回购股份》，公司有超募资金2.5亿，建议以超募资金回购公司股份注销或用于股权激励！感谢！,股东与股权变动
请问，截至2022年3月31日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年5月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年7月8日，公司的股东数是多少？谢谢,股东与股权变动
请问贵公司截止2022年6月20日股东人数是多少,股东与股权变动
请问，截至2022年6月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年6月20日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年7月29日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年4月20日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年4月8日，公司的股东数是多少？谢谢,股东与股权变动
请问董秘，截至10月10股东数是多少呢，谢谢,股东与股权变动
请问公司的增发是否已终止了？还有就是公司目前一共有多少家工厂在生产智慧灯杆，每家工厂的生产情况？,生产经营情况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
董秘您好！《稀土精矿供应》合同重签没有成功，年初的合同还有效吧，难道第三季度的精矿交易价格还是26887.20元/吨吗？,生产经营情况
美国加大了对华半导体制裁，对公司的芯片采购影响是否很大？,生产经营情况
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
您好，请问控股股东包钢集团，目前有无经营什么其他的具体实业业务吗？难道是一个纯粹的国资控股平台型公司吗？,公司基本状况
请问懂秘截止9月20日公司股东人数多少？,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
董秘 你好 想详细了解一下目前公司的机器人以及相关配件的销售对象有那些？谢谢,生产经营情况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
尊敬的董秘，估价一年时间从1接近斩腰，公司一直减持，是否公司有不利信息未公布，重组资金一拖再拖，公司大股东森工集团的破产重组还能继续完成吗？请正面回复，谢谢,股东与股权变动
请问贵公司的产品可用于手机屏幕吗？,公司基本状况
您好，请问，贵公司截止10月10日股东人数是多少？谢谢！,股东与股权变动
对比上半年疫情封锁，下班年订单能充分释放吗？,生产经营情况
龙净智慧环保产业园现在正式运营投产了吗？,生产经营情况
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
贵公司的冰面包太难买了，每次都买不到，为啥不提高门店供应量？不是号称有大数据吗？而且热销的巧克力味的冰面包怎么还下架了？？？是不是销售管理者不够敬业啊,生产经营情况
现在是回购股票的好机会，难道管理层不认为吗？建议大手笔回购,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
董秘您好，请问美国芯片新一轮出口管制是否直接影响公司业绩？目前我们看到的新一轮管制似乎应该在长周期利于公司半导体设备的生产，请问这个观点是否合理？ 谢谢,生产经营情况
请问公司最近一期的股东人数是多少？谢谢！,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
首发股东的股票成本相比于二级市场价格低很多，是不是可以肆无忌惮的减持？,股东与股权变动
您好，请问公司在航空燃油市场有业务范围吗？,公司基本状况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
您好，请问，贵公司截止10月10日股东人数是多少？谢谢！,股东与股权变动
贵公司是否为某知名炸鸡连锁企业的核心供应商？,生产经营情况
董秘好，请问公司在钠离子电池领域有何成果、研发进展、技术储备？,生产经营情况
董秘好，请问公司产品在储能领域有哪些成果？已有应用案例？可应用场景？,公司基本状况
贵司2022年中报显示，“存货”15.34亿元，请问该存货是原材料碳酸锂还是产成品磷酸铁锂？如为原材料碳酸锂，请问采购成本多少钱/吨？感谢！,生产经营情况
董秘你好！公司以及全资子公司2021年分别与美国相关公司签署了长期液化天然气购买合同，新闻也报道了公司转售美国液化天然气给欧洲国家并获利，但公司今年一季报和半年报业绩却没有得到相应的反映，是还没有结转利润？还是有别的什么原因？请予以说明。谢谢！,公司基本状况
董秘，你好。为什么不是通过回购港股提升公司股票内在价值。从a股回购代价相比更高。,股东与股权变动
首先感谢你们不辞辛劳的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们，身体健康，万事如意， 【比如截至到2022年8月20日贵公司的股东人数是多少？】.,股东与股权变动
公司领导您好，授权公司回购股票已经有5个月了，请问有没有具体进展，现在是否有部门牵头研究回购事宜。,股东与股权变动
贵公司当前在氢能源领域加大了布局，请问其中地下储氢井技术在储氢成本和维护方面相比于其他形式有哪些优势？能否提供一下首个采用地下储氢井技术的重庆半山环道综合加能站总建设成本，未来建设的综合加能站是否能有成本上的优化，谢谢。,生产经营情况
根据太原清徐官媒，太远风神轮胎退城入园取得实质性进展。请问公司预计什么时候收到征地补偿款？什么时候新厂址可以开始生产轮胎？,生产经营情况
由上市公司控股股东中化橡胶持有的青岛黄海去年10月完成了150万条全钢轮胎的环评。青岛黄海是中国较早引进倍耐力生产技术的企业，公司应该尽快提高自身经营能力，尽早推进资产注入。,生产经营情况
网上投资者统计公司大股东一直在质押股票，请问是否股东们都十分缺钱，是否打算不赎回股票,股东与股权变动
根据10月7日，美国新一轮对华芯片出口管制，限制美国人在没有获得许可的情况下支持中国半导体的制造。中微作为国际化的公司，包括董事长和众高管和很多研发人员在内是美国国籍。请问如何解决这个问题？,生产经营情况
请问目前公司还有多少个项目未完工或正在施工中？还有就是已中标，但未开始生产或施工的项目有多少？,生产经营情况
请问公司出除在四川设有生产工厂外，有计划在省外设立生产工厂吗？,生产经营情况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
董秘好，请问截止到9月23号收盘，贵司股东户数是多少？,股东与股权变动
你好，为何违背承诺减持至今无任何结果？现在一天都不到千万成交，贵公司不准备做些什么吗？,股东与股权变动
您好，请问，贵公司截止9月20日股东人数是多少？谢谢！,股东与股权变动
董秘你好。贵公司股价近一年跌幅惨烈，有没有回购股票的计划，我作投资者已经对贵公司的股价失去了信心，请给我一点希望吧,股东与股权变动
请问，截至2022年9月20日，公司的股东数是多少？谢谢,股东与股权变动
请问制约公司业绩增长的因素是不是产能，公司扩建的产能大约多久能释放？,生产经营情况
尊敬的董秘您好，根据上市公司公告与调研获悉，富奥股份目前正在积极扩产新能源汽车的逆变器项目，请问作为拥有合资公司长春东睦富奥公司的双方是否愿意在逆变器项目上进行合作呢？比如东睦科达的逆变器配件应用到富奥的产品上。谢谢您的解答。,公司基本状况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问：近期（7月/8月/9月）国内部分芯片制造商的制造设备采购招标中，为何没有公司的中标信息？是没有参与，还是没有中标？ 谢谢！,生产经营情况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
1.股价为什么一直表现很差？请问公司短期内是否有配股或者增发融资计划？,生产经营情况
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
您好！请问截止9月底或10月10日收盘公司股东人数是多少，谢谢！,股东与股权变动
董秘，您好！公司涉及房地产开发、商品房销售、物业管理、办公用房租赁等各种业务，请问公司现在是采取何种方式签署各业务合同呢，有采取电子合同签署方式吗，比如契约锁电子合同？,生产经营情况
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
请问贵公司目前股东人数多少？,股东与股权变动
请问贵公司最近一期股东名册人数是多少？,股东与股权变动
尊敬的董秘，年初看到公司的皮卡申报图，目前进展到那一步，计划什么时候量产？,生产经营情况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
公司创始人、董事长尹志尧先生，是一位非常了不起的行业专家，非常值得敬重！！但是，毕竟年近八旬，精力是否足够旺盛。请问，公司是否有接班人计划？在候选接班人计划中，是技术能力优先，还是管理能力优先？目前是否有重点培养的接班人？ 谢谢！,生产经营情况
董秘您好！ 请问截止到9月30日收盘，贵司股东户数是多少？,股东与股权变动
请问，公司是否会不定期披露重大销售（中标）项目信息？ 谢谢！,生产经营情况
请问贵公司生产治疗山羊痘病毒的疫苗或者药物吗,生产经营情况
请问，截至2022年9月9日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年10月11日，公司的股东数是多少？谢谢,股东与股权变动
您好！请问截至9月10日，公司股东人数是多少？谢谢！,股东与股权变动
请问，截至2022年10月09日，公司的股东数是多少？谢谢。,股东与股权变动
董秘，您好！ 请告诉截止到今天9月20日收盘的股东户数数据。谢谢！ 祝工作愉快！,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
董秘您好，请问截止9月9日收盘的股东人数，谢谢，祝中秋节快乐！阖家团圆！,股东与股权变动
请问公司截止9月10号的股东数是多少？,股东与股权变动
您好，请问，贵公司截止9月9日股东人数是多少？谢谢！,股东与股权变动
公司光伏制氢技术成熟吗？如果成熟什么时候可以盈利？,生产经营情况
请问公司截止8月30日股东数是多少呢？,股东与股权变动
小建议：个别投资者闲的慌，隔几天就问一下股东数，股东数其实只要定期公布，没必要每次逢问必答，建议可以像其他上市公司一样只需回复“定期公布，留意公告”即可，就会减少这类无意义的互动问题。,股东与股权变动
请问公司截止9月10号的股东数是多少？,股东与股权变动
请问公司有无进行光伏项目开发，比如光伏照明灯，光伏发电等产品开发以及规划,公司基本状况
尊敬的董秘，贵司不断加码电池片产能，收获了可观的利润并加深了一体化协同，请问贵司电池片技术路线中有对钙钛矿的研发吗？如果钙钛矿光伏电池片大量产业化应用，是否也会成为贵司关键的盈利增长点？,生产经营情况
请问董秘截止到2022年9月8日，公司股东人数是多少，谢谢,股东与股权变动
凤凰网是个劣迹斑斑的媒体，涉嫌协助诈骗，多年来为凤凰卫视集团虚假宣传、引流欺诈七万多忠实粉丝过百亿，事后甩锅切责。吴小莉等人宣传金融产品，事后不赔偿道歉。中信银行旗下的百信银行监管失责，已被舆论推上风尖浪口！很多企业都中止了与它们合作！请问贵公司是否与凤凰网、凤凰卫视、吴小莉等合作？,公司基本状况
公司能否在签订金额较大的订单时，发布个公告？？整天二级市场里面除了利空消息就是利空消息，股价死水一潭！,生产经营情况
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
董秘，你好，公司今年以来股票大跌将近70%，10月底马上解禁，强烈要求大股东承诺不减持公司股票，回购二级市场股票注销，保护中小投资者合法权益。,股东与股权变动
请问董秘：贵公司10月30日将有3.04亿股解禁，到时这些股票就可以随意交易吗？,股东与股权变动
据SIG报告，未来几年蓝牙位置服务和设备网络的蓝牙应用增长迅速，公司有这两方面的产品发布么？,公司基本状况
公司实际控制人李振国先生近期一直在质押公司股票，公告中给的理由是出于个人资金需求。但做为公司的旗手，一举一动都会影响公司的声誉，能否具体阐述一下李振国为什么要质押这么多股票？是对公司将来发展存有疑虑吗？,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
请问公司今天股东总人数是多少,股东与股权变动
做为一个负责任的公司，市值管理很重要，也是让股民对公司有信心。目前A股已经有近千家公司回购股票了，公司做为光伏龙头企业，也要做出点实际行动吧？总说资金拿去扩产了，你们把用理财的收益拿出来一点回购股票不行吗？拿着融资的钱去理财，哎！,股东与股权变动
尊敬的董秘你好，新疆和内蒙的新冠疫情对公司生产影响是不是很大？第三季度多晶硅减产了没有？请回答一下，谢谢。,生产经营情况
董秘，您好，265家上市公司终止减持计划，希望特变电工管理层拿出实际举措，回购股份，维护公司价值和投资者的利益！,股东与股权变动
请问公司有哪些化工产品？,公司基本状况
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问贵公司除了tws蓝牙主控产品外，是否有专门做IoT其他领域、非音频类的单蓝牙产品，比如蓝牙键盘、蓝牙触控笔、蓝牙标签等产品,公司基本状况
我买过公司的白酒就发觉瓶盖拧开后再拧紧。可跟本看不出拧动过瓶盖。并且有的到货时感觉有松动或是没拧紧。请问你们公司产品没有设计使用防伪瓶盖？看图片鹿龟酒瓶盖也没有防伪吧。是不是应当所有产品都检查下。,公司基本状况
尊敬的董秘你好！你公司现在利润几乎全部来自安式集团，而安式集团产品分离器件领域，逻辑器件领域，MOSFET器件领域的主要竞争对手安森美公司，而安森美股价在不断新高，而我们的股价在跌去70%后依然每天都创新底，是不是代表我们利润来源的安式被同行业公司产品超越和替代？还是投资者用脚投票了贵公司？,公司基本状况
请问公司若羌石英矿可以应用于石英坩埚吗？内蒙新特10万吨多晶硅已经达产了吗？公司今年硅料产量预期是否有上调？,生产经营情况
首先，.感谢你们不辞辛劳的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们，身体健康，万事如意， 【比如截至到2022年8月20日贵公司的股东人数是多少？】，,股东与股权变动
请问现在公司股东户数是多少？,股东与股权变动
公司计划什么时间公布三季度业绩预告？截至到目前，公司在新冠方面具体哪些业务？,公司基本状况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
实在难以理解，北汽蓝谷在推出两款极狐量产车型，解决掉了几万库存车的情况下，股价竟然比处于困境2020年底还要低，将近两年的时间，其他新能源车企飞速前进，贵公司领导有什么业绩？,生产经营情况
关于控股股东非公开发行可交换公司债券进入换股期，有人说非公开发行可交换公司债券认购对象是股份公司的子公司，请问此消息是否属实？,公司基本状况
凤凰网是个劣迹斑斑的媒体，涉嫌协助诈骗，多年来为凤凰卫视集团虚假宣传、引流欺诈七万多忠实粉丝过百亿，事后甩锅切责。吴小莉等人宣传金融产品，事后不赔偿道歉。中信银行旗下的百信银行监管失责，已被舆论推上风尖浪口！很多企业都中止了与它们合作！请问贵公司是否与凤凰网、凤凰卫视、吴小莉等合作？,公司基本状况
亲爱的董秘，猴痘订单到达多少能到达披露要求？,生产经营情况
董秘你好:贵公司有出口欧洲制热产品的打算吗？董事会讨论过对出口贸易加大力度吗？公司现金流严重限制的问题作何补救？投资者希望董事高管和股东着重以上问题商讨解决，改善公司运营方针表明态度！一一答复，祝公司生意兴隆，财源广进！同时也祝您步步高升。工作腾飞！,公司基本状况
请问贵公司最近一直减持股票，是否有退市的可能。,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
我是贵公司的投资者，问题有三：1，想请问中国新冠病毒检测企业众多，公司如何保持优势和争取订单？2，猴痘病毒出货量对盈利的影响多大，约占公司盈利的百分比是多少？3，贵公司未来几年有什么扩展计划？,生产经营情况
特斯拉机器人擎天柱Optimus已经发布，视觉传感神经网络是该机器人的核心技术，也大家谈论得最多的，请问公司有没有这个技术实力能携手特斯拉？,生产经营情况
请问阿根廷不明原因肺炎公司是否关注，请及时协同推出检测产品。,公司基本状况
董秘，你好， 深圳作为首个城区NCA城市，可见大家对深圳市场的重视之重。可是，深圳极狐直营店在深圳存在意义在哪里？既没有本地的品牌营销，也不是交付4S中心店，人员更是懒散，销量基本每月是鸭蛋。 请问公司如何看待深圳直营店的定位和店长等人员的配置问题。,生产经营情况
董秘，你好， 既然HI已经可以大批量交付，为什么一线销售还没拿到带红色HI LOGO的T恤，反而在公司总部的人穿着？你至少得保证一线城市销售先穿吧。 如此一件小事都没发现，请问公司负责销售的部门是否在摆设，没有想到任何事情的落地需要一线员工去执行吗？ 谢谢。,生产经营情况
公司计划什么时间公布三季度业绩预告？截至到目前，公司在新冠方面具体哪些业务？,公司基本状况
你好董秘！作为中兵旗下的军工企业，公司的核武器核辐射生化防护产品都有哪些？麻烦详细介绍一下……,公司基本状况
董秘您好，贵司子公司卡斯柯是公司百分之51和阿尔斯通百分之49持股，阿尔斯通被通用电气收购之后，这部分的持股方是通用电气了么？会对公司经营有影响么？谢谢！,公司基本状况
从新闻了解，近段时间以来贵公司获得大量订单，业务不断拓展，请问三季度报会提前发业绩预增预告吗？,生产经营情况
请问公司12万吨甘氨酸项目建设在7月初通过设计评审以后，目前的进展如何？预计什么时间投产？,生产经营情况
公司计划什么时间公布三季度业绩预告？截至到目前，公司在新冠方面具体哪些业务？,公司基本状况
董秘您好，公司2021年年报显示，公司研发人员平均薪酬为43.41万元，在网安行业中处于第一梯队，接近绿盟科技的两倍，但是网络论坛上的网友都说山石网科研发人员的待遇不如绿盟科技，请问这种情况是怎么造成的？？,生产经营情况
五矿稀土将改名为中国稀土，作为央企的五矿资本是否可以将名字改为中国资本？,公司基本状况
公司港股价格持续新低，港股投资者损失惨重，公司股东还在A股不计成本疯狂减持，公司难道没有什么措施来保护小股东和底层员工利益吗？,股东与股权变动
尊敬的董秘您好，最近网络传闻红星二锅头欲借壳文投控股上市，请问公司跟红星二锅头有没有接触？或者有没有业务往来！请回答，谢谢！,公司基本状况
公司在半导体制造领域是否有机床销售？,生产经营情况
截至目前，公司在新能源汽车、风电、航空、军工等新赛道的机床销售的规模占营收比例大概是多少？,生产经营情况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年8月31日，公司的股东数是多少？谢谢,股东与股权变动
请介绍一下公司在北美的业务有何进展。另外，公司是否有规划拓展欧洲市场？,公司基本状况
公司曾经预计募投的龙门机床项目在今年会释放50%的产能，但上半年受到疫情影响打断了节奏，那么从三季度销售发货情况以及新增订单来看，公司是否能实现龙门在今年释放50%产能的目标？,生产经营情况
公司是否存在未披露的重大利空，为什么近几日公司管理层不计成本疯狂减持？,股东与股权变动
公司账上理财现金高达75亿元，为市值一半。累现金达到100亿元。这部分占比市值达到三分之二。请问公司对这部分现金未来有何规划，是否一直用作理财或者提高分红？,生产经营情况
您好！请问截止9月9日收盘公司股东人数是多少，谢谢！,股东与股权变动
请问，截至2022年9月9日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年9月20日，公司的股东数是多少？谢谢,股东与股权变动
您好！请问截止9月底或10月10日收盘公司股东人数是多少，谢谢！,股东与股权变动
您好！请问截止9月20日收盘公司股东人数是多少，谢谢！,股东与股权变动
董秘您好，请问截至今天股东人数多少？,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
您好！请问贵公司有没有应用于光伏，核电领域的产品？,公司基本状况
董秘您好！请问贵公司产品能否用于新能源产业？,公司基本状况
请问公司出售至国外的罐箱，是只签出厂价，运费由采购方负责？还是由四方负责生产运送到港，甚至到采购公司？谢谢,生产经营情况
请问董秘： 1、今年主业业绩比往年有什么变化？订单有什么变化？为何少见过主业销售订单的相关公告？ 2、对股东的回报公司有何规划？ 麻烦详细说明下，谢谢！,生产经营情况
请介绍一下贵司的网络直播业务，谢谢,公司基本状况
请问公司清理完金融资产后的下一步计划是什么？是否有植入中核集团资产的计划？,生产经营情况
请问贵公司煤炭产销量差几百万吨的原因是什么？,生产经营情况
三季度煤炭销售成本暴增什么原因,生产经营情况
请问，截至2022年10月10日，公司的股东数是多少？谢谢,股东与股权变动
董秘你好，基于对你们品牌的信任，加上也是规范运营的上市公司，在你们淘宝官方旗舰店产品搞活动期间下单买了一把不错的学生用椅子，可几天之后迟迟不发货，一再催问，后被告知该产品工厂没货已经下架，对这样的不诚信毁约行为实在无法理解，请问，消费者还敢在你们的官方旗舰店下单吗？,公司基本状况
贵司以及子公司，是否有开展跨境电商业务？谢谢。,公司基本状况
贵司是否有央视广告代理业务？谢谢。,公司基本状况
董秘，您好！公司涉及游戏软件开发设计、投资信息咨询、服装服饰及配饰生产销售、设备租赁等各种业务，请问公司现在是采取何种方式签署各业务合同呢，有采取电子合同签署方式吗，比如契约锁电子合同？,生产经营情况
尊敬的董秘您好！请问截止9月30日贵司股东人数是多少？什么时候发三季度业绩预报？感谢您的回复,股东与股权变动
请问，贵司三季度在境外的销售环比有进一步的提升吗？谢谢,生产经营情况
尊敬的董秘，您好！请问公司1.1类创新中药七蕊胃舒胶囊目前己上市入9省医疗机构，目前销量多少万盒？目前公司日产量和年产量多少盒？,生产经营情况
董事长您好：请问公司产品可否用于取暖和供热系统，同那些企业有合作和提供产品。谢谢！,公司基本状况
董秘您好，请问两个问题：1、重庆康佳半导体光电产业园是否为公司客户？2、公司是否考虑提高现执行130元每股的回购上限？,生产经营情况
董秘您好，请问截止9月30日收盘的股东人数，谢谢，祝节日快乐！,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
你好，请问截止2022年9月30日，公司股东人数多少？谢谢,股东与股权变动
请问，贵公司9月底股东数是多少？谢谢！,股东与股权变动
请问，截至2022年9月30日，公司的股东数是多少？谢谢,股东与股权变动
