请问2021年9月30日公司最新的股东人数和机构持股情况，谢谢	您好，请告诉我2021年9月30日该公司最新股东数量和机构持股情况。谢谢。	1
请问贵公司的产品在新能源车领域具体有哪些应用？	您的产品在新能源汽车领域有哪些具体应用？	1
请问贵公司的回购计划实施了吗？有没有买入一丁点了？	贵公司的回购计划实施了吗？买了一点吗？	1
您好董秘，请问截止10月20日，贵公司的股东人数是多少?谢谢您的答复！	董秘您好，到10月20日，贵公司的股东人数是多少？谢谢您的回复！	1
董秘您好，请问下公司主打染料订单有没有新单增加，有没有产线产能的增加？而公司4.6亿闲置资金去做理财，投资者都会理财，上市应该拿钱做更多有利业绩的事，回馈投资者，请正面回复	董秘，您好。公司染料主力订单和生产线产能有增加吗？公司有4.6亿闲置资金做理财，投资者做理财，上市用这笔钱做更有利于业绩的事，回馈投资者，请积极回复	1
请分别介绍一下子公司湖南华联火炬电瓷电器有限公司，和湖南蓝思华联精瓷有限公司的主营业务和产品？蓝思华瓷的5G滤波器芯片，与中瓷电子的产品是否有竞争？	请介绍湖南华联火炬电器有限公司、湖南蓝丝华联精磁有限公司的主营业务和产品。青丝花瓷的5G过滤芯片与中国陶瓷电子产品之间是否有竞争？	1
请问董秘，公司的新能源汽车三电系统产品是否已经量产？据悉广东骏亚也在开始布局汽车电子线路板，请详细介绍下贵司相关的客户开发及认证情况，谢谢！	请问董秘，公司新能源汽车三大电控系统产品已经量产了吗？据悉，广东君亚也开始布局汽车电子电路板，请详细介绍贵公司相关客户的开发和认证情况。谢谢。	1
董㊙️，您好，公司会大手笔回购公司股份吗，以增强投资者信心，公司会公布在手订单吗谢谢	董秘，您好，公司能否以较高的价格回购公司的股票，以提高投资者的信心？公司会发布手头的订单吗？谢谢。	1
请问下公司目前股东人数？ 请问下公司最近没有公司调研？ 请问下冬奥会电力是不是有公司保障？	请问该公司目前的股东人数是多少？告辞了。公司最近没有调查吗？下一届冬奥会用电有公司保障吗？	1
请问贵公司或子公司的技术或，业务，云服务等是否具备东数西算的能力或发展？	您的公司或子公司是否具备技术、业务、云服务等能力或开发能力？	1
您好，想了解如下两个问题，望予以解答：1、公司三季报披露，公司完成了4款MiniLed展示样品及7款MiniLed试产，预计什么时候可以取得厂商的定点订单？是否有新能源车型？2、公司增资东超科技研发【空中成像】技术在车载领域应用进展如何？	你好，我想知道以下两个问题。我想回答这些问题：1.公司三季报显示，公司完成了4个MiniLed显示样品和7个MiniLed的试生产。你打算什么时候收到制造商指定的订单？有新能源车型吗？2、东潮在车辆领域的研发[航空成像]技术进展如何？	1
请问公司股价破发，公司会不会增持？为什么前面的提问不公开？	如果该公司股价被打破，该公司会增收吗？为什么之前的问题没有公开？	1
董秘，您好，请问截止12月10日收盘公司股东人数是多少？谢谢！	董秘，您好，到12月10日，公司股东人数是多少？谢谢。	1
目前新冠疫情防控依旧很严峻，贵公司是否考虑拓展疫情相关产品业务等？	目前，新冠肺炎疫情防控形势依然十分严峻，贵公司是否考虑拓展疫情相关产品业务？	1
公司产品适用于哪些领域？	那家公司的产品适用于什么领域？	1
秘董你好，请问贵司生产状况正常吗？为何股价一直在暴跌，板块大涨，你们股价不涨，板块跌，贵司的股价跌得比板块还要猛！毫无底线啊，坑惨了投资者了。另外请问一下现在的股东人数是多少呢？	请问董秘方，你的生产状况正常吗？为什么股价一直暴跌，板块大幅上涨，而你的股价却没有上涨，板块下跌，你的股价跌幅比板块还要大！没有基线。投资者被愚弄了。顺便问一下，目前的股东人数是多少？	1
你好，请问最新股东人数多少，为了更好的回馈投资者过一个好年，年报是否可以高送转？	请问最新的股东人数是多少？为了在投资者好的一年里更好地回报，年报能否高转？	1
董秘你好：请问双十一你们的销售渠道都有哪些？销量分别如何？	你好，董秘：光棍节你们的销售渠道是什么？销售情况如何？	1
公司的电机和风机等产品在氢能源汽车和加氢站及换电站方面的有哪些应用，公司是否有这方面的产业布局	公司电机、风扇等产品在氢能汽车、加氢站、电站等有哪些应用，公司在这方面有产业布局？	1
贵公司在微信公众号和抖音号等平台上炫耀每日国内外业绩效果！但没有进行流量推广！是订单爆棚无需再接吗？	贵公司以微信公众号和抖音公众号炫耀在国内外的日常表现。但是通信量并不普及！不需要再点了吗？	1
您好，请问董秘:截止7月20号，贵公司的股东人数是多少?谢谢您	请问董秘：截至7月20日，贵公司股东人数是多少？非常感谢你。	1
河南本地法人股东，动用信用账户，几家关联公司大量持有牧原股份。根据中报数据二季度鸿宝可能减持4373万股，请问为什么没有减持公告？同为河南企业，请问大量河南本地营业部席位的大宗交易是否河南鸿宝？河南鸿宝和河南牧原是否存在直接或间接关联关系？	河南当地法人股东使用信用账户，一些关联公司持有大量牧原股份。中国新闻数据显示，二季度红宝可能减少4，373万股。为什么没有关于减税的公告？都是同样的河南企业，大宗交易的大量席位都在河南当地商务部门河南宏宝吗？河南宏宝和河南牧原之间是否有直接或间接的关系？	1
请问大股东质押的股票什么解除质押？	请问大股东质押股票的质押解除是什么？	1
请问贵公司在民用领域除了无人驾驶和5G通信领域之外，是否有其他拓展意向？贵公司产品和技术在民用无人机领域，AR所采用的全场景建模领域，VR全浸入元宇宙联网游戏的定位领域是否都有一席之地？	除了自动驾驶和5G通讯，贵公司有没有在私营领域扩张的其他意图？贵公司的产品和技术在民用无人机领域、AR使用的全场景建模领域、完全沉浸在Metacosmos网络游戏中的VR定位领域有席位吗？	1
截止你回复之日.股东人数是多少？	从回信之日起。股东人数是多少？	1
请问截止8月20日股东人数？机构股东数？	你能告诉我8月20日之前的股东人数吗？机构股东的数量？	1
请问公司的产品业务近几年呈爆发式增长趋势，公司是如何保障产品供应？宁德时代是公司的重要战略伙伴关系，宁德即将在国外建厂供货特斯拉和福特电池，公司是否有考虑国外市场的相关合作布局？请问公司目前研发的项目主要有哪些方面？请问公司目前订单是否饱满，处于满负荷生产？谢谢	请问近年来公司产品业务呈现爆发式增长趋势，公司如何保障产品供应呢？宁德时代曾是公司的重要战略合作伙伴。宁德即将在海外设立工厂，供应特斯拉和福特电池。公司是否考虑过在海外市场的合作布局？该公司目前的研发项目主要有哪些方面？请问该公司目前的订单是满员和满载吗？谢谢你，谢谢	1
深能爱众经营范围包含空气能热泵、抽水蓄能、储能、充电桩。能否具体介绍一下贵公司的持股占比和该公司的经营范围？	深能爱中的业务范围包括空气能源热泵、抽水蓄能、储能和充电桩。你能介绍一下持股比例和公司的业务范围吗？	1
请问公司目前现有HiB产能是怎样？有多少是中高牌号的？	该公司目前的Hib产能是多少？中级和高级有多大？	1
董秘，您好！请问截止10月29日收盘，公司股东户数是多少，谢谢！	董秘你好。截至10月29日底，公司股东数量是多少？谢谢。	1
解禁后实控人一再减持股份，请帮普通投资者解读一下贵公司股份是否还能继续长期持有？谢谢	解禁后，实际控制人多次减持股份。帮助普通投资者破解你的股票是否能长期持有。谢谢你，谢谢	1
国家铁路局发文“十四五”时期加快推进“八纵八横”高速铁路主通道建设，贵公司有哪些业务能够支持建设的？谢谢	国家铁路局发文称，要加快推进“十四五”期间高铁建设。贵公司可以支持哪些业务建设？谢谢你，谢谢	1
您好，董秘，请问截止2021.1105日股东人数是多少？	董秘，您好，到2021.1105，股东人数是多少？	1
请问公司产品可用于锂电池材料或者电解液吗？谢谢	该公司的产品可以用于锂电池材料或电解液吗？谢谢你，谢谢	1
董秘你好,请问贵公司产品有无提供给神舟飞船?谢谢	董秘，您好，有神舟飞船的产品吗？谢谢你，谢谢	1
2021年度,公司预计检验检测信息收入将增长25.03%~33.18%,增长速度仍然较快。请问检验检测领域业务占比大概有多少？公司在检验检测领域业务占比有没有50%？谢谢	2021年，该公司预计检验检验信息收入增长25.03%至33.18%，增速依然较快。检验检验领域的业务占多大比例？公司在检验检验领域的业务占有率是50%吗？谢谢你，谢谢	1
尊敬的董秘，请问公司截止至十月底或今日的股东户数是多少？真是麻烦您了	尊敬的董秘，10月底或今天，公司股东户数是多少？很抱歉给您添麻烦了。	1
徐总您好，公司目前有储备秸秆保温材料技术吗？谢谢	请问徐总经理，公司目前有储存秸秆保温材料的技术吗？谢谢你，谢谢	1
能不能说明一下现在大路煤制油项目进展，以及伊犁煤制油项目进展。面临的困难，以及银行贷款的具体情况。	能否说明戴尔煤油项目和伊利煤制油项目的进展情况？面临的困难，以及银行贷款的具体情况。	1
目前新冠病毒德尔塔和奥密克戎变体对全球疫情造成了“双重威胁”，请问公司的产品能否参与其中，能起到什么作用？ 谢谢	目前，新型冠状病毒Delta和O‘Micron变种对全球疫情构成“双重威胁”。公司的产品能否参与，又能起到什么作用？谢谢你，谢谢	1
请问：1.公司的污水处理技术和产品能否适用核污染海水的处理？2.公司除现有污水处理技术外，还有其他创新技术储备吗？3.清华大学深圳研究院开发的环保领域其他先进技术，比如大气、土壤等方面的先进污染治理技术是否会进入公司？	打扰一下：1.该公司的污水处理技术和产品是否适合处理核污染海水？两个人。除了现有的污水处理技术外，该公司还有其他创新的技术储备吗？3、清华大学深圳研究院研发的其他环保领域的先进技术，如空气或土壤，会进入公司吗？	1
请问公司是否有国际业务？	这家公司有国际业务吗？	1
公司官网介绍改性塑料现已逐步代替传统无机材料如金属、玻璃、陶瓷等用于生产各类医疗器械和医护用品，目前聚赛龙为口罩、防护服等提供材料解决方案。那请问，假如现有客户公司向公司咨询新冠抗原检测盒业务，公司有能力与技术向客户提供材料解决方案吗？	该公司官网显示，在各种医疗器械和医疗用品的生产中，改性塑料逐渐取代了金属、玻璃和陶瓷等传统无机材料。目前，宝赛龙为口罩和防护服提供了材料解决方案。请问如果现有客户公司咨询新冠肺炎抗原检测套件业务，公司是否有能力和技术为客户提供物质解决方案？	1
请问扁线产能情况	我可以问一下扁平生产线的生产能力吗？	1
未来国内其他公司对二倍体疫苗逐步研发成功，贵公司产品在国内市场饱和的情况下在国际市场竞争力如何？	未来，国内其他公司也将陆续成功研制出二倍体疫苗。如果国内市场饱和，你们的产品在国际市场上的竞争力如何？	1
尊敬的上市公司你好，2022年的春节即将到来，通常这是食品消费行业的旺季，请问上市公司在春节来临之际，有什么计划促进销量吗？今年有什么销售上的发展规划吗？谢谢。	亲爱的上市公司，您好，2022年春节即将到来，通常是食品消费行业的旺季。春节临近，上市公司是否有促销的计划？你们今年有什么销售发展计划吗？谢谢。	1
请问1月10日公司股东人数一共多少户？谢谢！	截至1月10日，该公司股东总数是多少？谢谢。	1
你好，请问公司上市募资比原计划多出的15亿公司有和计划和安排，是收购公司增加新业务多元发展还是继续做大做强？	请问公司上市募集资金超过原计划15亿的公司是否有计划和安排？收购公司是扩大多元化发展的新业务，还是要继续做大做强？	1
请问贵公司截止12月27日股东人数是多少？？？	截至12月27日，贵公司的股东人数是多少？	1
董秘好，看公司网站及招股书提到，公司产品有用在光伏方面，如光伏电站，是否属实？	董美娟在阅读公司网站和招股书后表示，该公司的产品在太阳能电站这样的太阳能电站领域是有用的，这是真的吗？	1
请董秘概述一下公司在元宇宙方面的优势及所做的工作，谢谢。	请概述该公司在梅德巴斯方面的优势及其努力。谢谢。	1
董秘您好子公司江门长城紫晶计算机系统有限公司是否有物联网技术研发；人工智能基础资源与技术平台；智能控制系统集成；云计算设备制造等相关的技术	请问董秘，江门长城紫晶计算机系统有限公司是否拥有物联网技术研发；人工智能基础资源与技术平台；智能控制系统整合；云计算设备制造等相关技术？	1
尊敬的董秘您好，贵公司扩产的产能快能量产了，那么贵公司业务量有信心能同时提升上去吗？公司内部制定的销售计划和目标是什么？请说明下贵公司未来的销售计划及销售目标。	尊敬的董秘，贵公司扩大的产能即将产生能量，是否有信心同时增加业务量？公司内部制定的销售计划和目标是什么？请说明您未来的销售计划和销售目标。	1
业界里面基本认可贵公司RIGOU品牌产品在行业内国内一哥的地位。国内这么多高等院校实验室，高端制造业，航空航天军事，半导体产业，电子制造业都需要各类示波器等仪器，为何贵公司仍然市场占有率不高？无法替代国际一线品牌产品？是因为自产的ADC芯片不够高端吗？	贵公司的日沟产品几乎是业界公认的行业第一。国内高校、高端制造、航天军工、半导体工业、电子制造等许多实验室都需要各种示波器等仪器，为什么贵公司的市占率仍然很低？能否取代国际一线品牌的产品？因为国产ADC芯片不是高端的吗？	1
请问今年双11的销售额是多少？相比往年增加多少个百分比	今年双11的销量是多少？比几年前增加了多少%？	1
截止2021年11月10日公司股东人数是多少？谢谢	到2021年11月10日，股东人数是多少？谢谢你，谢谢	1
公司硫酸产品从去年年中到现在价格涨了7倍，与硫酸产品大量应用于新能源产业是否有关？谢谢。另外公司硫酸产品生产订单充沛吗？	自去年中以来，该公司硫酸产品的价格上涨了7倍。这是否与新能源产业中大量使用硫酸产品有关？谢谢。此外，该公司是否有足够的硫酸产品生产订单？	1
公司产品是否可以用于新冠药方面？为什么不敢大胆承认？	该公司的产品可以用于新冠药吗？为什么不能承认呢？	1
美国的医院是否是公司的客户？用于病人的新冠病毒消杀防护？	美国的医院是该公司的客户吗？为驱除患者新型冠状病毒的保护？	1
请问公司产品有对外贸易吗？	请问公司的产品有外贸业务吗？	1
为何不公布最新股东人数？	为什么不公布最新的股东数量？	1
首先感谢你们不辞辛劳的回复我们提出的问题。請問把带有时间和姓名的股票交易软件持仓截图和身份证一并扫描发送至公司邮箱，可以获知 非定期报告相关时点的股东人数吗？盼你们具体，明确答复。顺祝你们，身体健康，万事如意, 【比如截至到2022年7月31日贵公司的股东人数是多少？】	首先，谢谢你不厌倦地回答我们的问题。能否通过将有时间、姓名和身份证的股票交易软件截图扫描到公司邮箱，了解不定期报告相关时间的股东人数？我们期待着你具体而明确的答案。祝你身体健康。希望一切顺利。[例如，截至2022年7月31日，贵公司的股东数量是多少？“”	1
您好，请问，贵公司截止7月20日股东人数是多少？谢谢！	请问到7月20日，你们公司的股东数量是多少？谢谢。	1
请问贵公司三季度产能利用率是否在100以上？	请问贵公司第三季度产能利用率是否超过100%？	1
您好，贵公司苏州生产基地已经完工了吗？没有的话2020年能否完工？	请问你的苏州生产基地建成了吗？如果不是的话，到2020年能完成吗？	1
尊敬的董秘，您好！南海减持时间早已过半，为何没有披露减持进展公告，请督促做好披露工作。谢谢！	尊敬的董秘，你好？南海中国减持时间已过半，为何不披露公告进展情况，请督促披露工作。谢谢。	1
请问当前股东数何时公布	目前的股东数量何时公布？	1
您好，尊敬的董秘。随着部分地区干旱以及限电，对于金龙鱼基地生产是否有影响？	尊敬的董秘，你好。随着部分地区的干旱和停电，会不会影响金良基地的生产？	1
贵公司截止12月3日股东人数是多少	截至12月3日，贵公司的股东人数是多少？	1
公司目前产能利用率如何，是否饱满状态？	该公司目前的产能利用率是多少？满了吗？	1
你好，股东人数不是应披露的信息吗？问你了却让我们投资者拿相关材料去查，那还需要问你吗？这样公司算不算有应披露而未披露？	您好，股东人数不是应该公开的信息吗？但是，如果我们的投资者拿着相关资料去查一下，我还需要问你吗？这是否意味着公司必须被披露，而不是被披露？	1
请问公司有考虑回购股份进行市值管理吗？	该公司有没有考虑过回购股票进行市值管理？	1
贵公司的产品是否用于氢燃料车上？	你们的产品是用于氢燃料汽车的吗？	1
董秘你好，公司股东人数顶峰是3.89万，半年时间，只剩下1.1万，投资者明显已经对贵司失去了信心，贵司是否对自己在行业的发展有信心？	你好，董秘，公司股东人数峰值为38900人，半年后只剩下11000人。投资者显然对你的公司失去了信心。你对自己在这个行业的发展有信心吗？	1
董秘好，请问公司产品是否有应用于c919大飞机？	董美，该公司的产品用在C919飞机上吗？	1
母公司亚光科技集团有限公司的主要供应商有哪些，前五大供应商占比分别多少？	母公司亚光科技集团有限公司的主要供应商有哪些？排名前五位的供应商所占比例是多少？	1
董秘你好,这个月的解除质押进度几号公布?	你好，董梅。本月质押释放进展何时公布？	1
请问贵公司截止11月22日，股东人数是多少？？？	截至11月22日，贵公司的股东人数是多少？	1
董秘，你好，请问最近半年的折价大宗是怎么回事？是否是大股东在减持？	请问董秘，你能告诉我最近六个月的折扣发生了什么吗？是大股东减产的吗？	1
公司产品有用于汽车上吗？用于哪几个品牌？	那家公司的产品用于汽车吗？用的是什么牌子的？	1
海康威视是公司的客户吗？海康威视旗下也有机器视觉相关业务，两者是否有竞争关系？	海康威视是该公司的客户吗？海康威视也有机器视觉相关业务，两者之间是否存在竞争关系？	1
公司在之前介绍2021年底募投项目主体将完工，目前已到2022年，请介绍下公司募投项目进展情况？	公司介绍招聘项目主体到2021年底完工，目前已是2022年，请介绍公司招聘项目的进展情况。	1
公司是否具备研发仿制药的能力？	那家公司有能力开发仿制药吗？	1
董秘，你好。了解一下当前IC载板项目的进度，以及该项目未来规划	董秘你好。了解目前IC板项目的进展情况和项目未来的规划。	1
贵司今年的新能源汽车和氢能源设备产能和销量如何？	贵公司今年新能源汽车和氢能设备的产能和销量是多少？	1
你好，请问目前公司Mini LED产能有多大？主要客户有哪些？今年销售情况如何，明年又是怎样的展望？谢谢！	您好，该公司目前迷你LED的产能是多少？主要客户是什么？今年销售情况如何，明年前景如何？谢谢。	1
您好董秘，请问截止10月31日，贵公司股东人数是多少？谢谢	董秘先生，您好，到10月31日，贵公司的股东人数是多少？谢谢你，谢谢	1
董秘您好。 听说联电1月份又开始涨价了。而且据新闻说，联电明年3月份还想继续涨。 联电如此行为，会不会压缩芯片公司的利润空间？贵司是否有考虑更换晶圆厂？ 是否应该分散产能，尽量少找这种不正规的，涨价无度的晶圆厂。	董秘你好。联电1月份又开始涨价了。另一方面，消息面显示，联电希望在明年3月继续上升。如果联电这样做，会不会压缩芯片公司的利润率？贵公司考虑过更换工厂吗？我们是不是应该分散产能，尽量少找到这种非正规、肆无忌惮的晶圆厂？	1
请问贵公司所采购的膜产品是国外进口还是国产品牌？比如三达膜或者碧水源的产品质量已经很好了。	请问贵公司购买的胶片产品是从国外进口的吗？还是国产品牌？例如，散打薄膜或碧树水源的产品质量已经很好。	1
尊敬的董秘，您好！欧洲电力供应紧张，可能会用上蜡烛，请问贵公司最近出口到欧洲的蜡烛情况如何？	尊敬的董秘，你好？欧洲电力供应不足，可能会用蜡烛。最近出口到欧洲的蜡烛情况如何？	1
截止到10月29日公司股东人数?	截至10月29日，该公司的股东数量是多少？	1
请问公司产品可以用于新能源汽车哪方面？客户都有哪些知名公司？	请问该公司的产品可以用于新能源汽车吗？顾客有什么有名的公司？	1
您好，近期A股市场包装印刷行业异常火爆，也许反映出该行业整体效益不错。公司具体为哪些印刷行业A股上市公司供应商品和服务？	您好，近期A股市场包装印刷行业异常火爆，或反映行业整体效益良好。印刷行业有哪些A股上市公司专门提供商品和服务？	1
董秘，你好！贵公司有没有产品应用于北京冬奥会？	董秘你好。贵公司有北京冬奥会用的产品吗？	1
请问贵公司截止昨日收盘后 最新股东人数是多少？	截至昨天收盘价，贵公司的最新股东人数是多少？	1
请问 截止10月20日收盘，贵公司股东人数是多少？谢谢	截至10月20日止的收盘时，贵公司的股东人数是多少？谢谢你，谢谢	1
新闻报道，最近预制菜的市场需求火爆，甚至出现货车排队等拉货的状态，请您说一下公司最近产品的情况，以及是否有提价的意向。谢谢	据新闻报道，近期，市场对熟菜的需求非常旺盛，也出现了卡车排队拉货的情况。请告诉我该公司最近的产品，以及是否有提价的意图。谢谢你，谢谢	1
请问贵司跟立昂技术在业务上是否为竞争对手？两公司主营业务是否存在同质化或者说是关联交易方？谢谢	请问贵公司和Lion科技在业务上是竞争对手吗？两家公司的主营业务是否存在同质化或关联方？谢谢你，谢谢	1
你好，请问公司现在是否订单不足呢？听说公司十一放假半个月是否属实呢？	请问公司现在订单不够吗？公司真的有半个月的国庆假期吗？	1
董秘您好，请问锂电池回收建设进度到哪一步了，预计何时投产，除了提取碳酸锂材料还要提取其他材料吗，提取的碳酸锂是否能够直接适用于锂电池，回收废旧锂电池提取产出比是多少，前景如何，谢谢回答！	请问董秘，锂电池回收建设进展如何？你打算什么时候开始生产？除了提取碳酸锂材料，还需要提取其他材料吗？提取的碳酸锂可以直接应用于锂电池吗？废旧锂电池回收的提取率是多少？前景如何？谢谢你回答我。	1
你好：Facebook要进军元宇宙行业，VR产品会带来几何级的增长。请问Facebook是公司的客户吗？	你好：Facebook正在进军元巴斯产业，VR产品将带来几何体增长。Facebook是该公司的客户吗？	1
您好，请问，贵公司截止10月31日股东人数是多少？谢谢！	请问到10月31日，你们公司的股东人数是多少？谢谢。	1
最新公告拟接受股权抵押，请问是否严谨，应为股权质押，请核实。	最新公告预计将接受股票质押。请问是否严格，应该作为股票质押。请确认一下。	1
请问公司领导，因为商业保密问题，简短的询问下公司的新能源汽车三电系统控制板从设计开发到最终的产品品质稳定成熟量产这个周期大概有多长，请告知，谢谢。	我想问一下公司领导，由于商业秘密，我想简单地问一下，从公司新能源汽车三电系统控制板的设计开发到最终产品质量稳定成熟的量产周期有多长，请告诉我。谢谢。	1
请问，截至2021年11月30日，公司的股东数是多少？谢谢	请问到2021年11月30日，该公司的股东数量是多少？谢谢你，谢谢	1
请问公司是否有新冠疫情防控产品？	该公司是否拥有新冠肺炎疫情防控产品？	1
公司为什么定位于“小批量”类产品，为什么不做有量的产品？是否公司竞争力不足？	为什么要将公司定位为“小批量”产品？为什么不大量生产产品呢？这家公司的竞争力还不够吗？	1
尊敬的董秘：     公司21年业绩暴增120%，且IPO后每股净资产高达67.66元.同时每股公积金10.35元.未分配利润23.98元，均符合高增长，业务规模扩大，三高，没有减持的交易所的高送转条件，建议公司采取高送转，扩大股本规模，增加流动性！谢谢	尊敬的董秘：公司21年业绩暴涨120%，IPO后每股净值达到67.66元。此外，公积金为每股10.35元。未分配利润23.98元，均符合高增长、业务规模扩大、三高、不减薪高额转让的条件，公司建议高额转让、扩大股票规模、增加流动资金！谢谢你，谢谢	1
公司现阶段是特斯拉的客户吗？	在这个阶段，该公司是特斯拉的客户吗？	1
公司有没有向血管介入相关医疗设备延伸的计划与技术储备？谢谢	该公司是否有延长与血管干预相关的医疗器械的计划和技术储备？谢谢你，谢谢	1
自贵司上市以来，股价接连下跌，请问贵司是否有考虑过相应的主动市值管理措施，比如有无考虑通过二级市场的增持来维持中小股东的利益？另，距离贵司的定增失效时间表仅剩2个月左右，相关的定增工作是否仍在正常进行？有无相应的接洽对象？	自贵公司上市以来，股票价格不断下跌。贵公司在二级市场增资维护中小股东利益等，是否考虑过相应的积极市值管理措施？此外，距离你的定增失败时间表只有大约两个月，相关的定增是否正常进行？有相应的联系方式吗？	1
公司说要进军车载液晶显示器的领域吗，合作商京东方拟募投车载显示电子，是否会对公司冲击，公司与京东方的战略合作是什么模式？	该公司是否表示将进军车载LCD领域？合作伙伴京东方是否计划为车载显示电子产品筹集资金？这会影响公司吗？公司与京东方的战略合作模式是什么？	1
您好，目前公司在手订单是否在持续增长？	您好，目前公司手头订单还在增加吗？	1
随着单身经济兴起，小家电市场火爆，贵公司是否有在相关产品设计研发方面布局？	随着单一经济的崛起和小家电市场的蓬勃发展，贵公司在相关产品的设计开发上是否有布局？	1
尊敬的董秘，请问公司产品有没有用到换电站业务的？因为换电站会用到大量电机，包括起落，通风等环节	尊敬的董秘，公司的产品是否用于电站改装业务？因为变电站使用大量的马达，如起降、通风等。	1
您好，请问截止到2021年12月10日收盘的股东人数是多少呢。谢谢啦！	您好，截至2021年12月10日，截止日期的股东人数是多少？谢谢。	1
请问公司产品是否可以应用于无人驾驶？谢谢	该公司的产品可以应用于自动驾驶吗？谢谢你，谢谢	1
公司有哪些高科技产品应用到设计规划建设中？	公司的设计、规划、建设中使用了哪些高科技产品？	1
董秘您好，在雷达芯片领域，贵公司和万邦微电子相比有什么优劣势？	您好，与董秘、万邦微电子相比，贵公司在雷达芯片领域有哪些优势和劣势？	1
董秘你好，贵司拥有黑龙江省中小学教材独家发行资质，是黑龙江省内唯一上市文化企业。请问贵司在在线教育方面有哪些技术储备？	您好，董秘，贵公司拥有黑龙江省中小学教材独家销售资质，是黑龙江省唯一一家上市文化企业。你在在线教育方面有哪些技术储备？	1
请问代工占用多少产能？	OEM的生产能力是多少？	1
董秘，您好！请问贵司产品是否有USB-C接口和配套生产产线、产能？如果有能否提供相关数据？	董秘你好。您的产品是否有USB-C接口和配套的生产线和生产能力？如果有的话，可以提供相关数据吗？	1
媒体近日报道，我公司旗下园区--德必虹桥绿谷WE2020年获得上海虹桥商务区管理委员会颁发的虹桥商务区全球数字贸易港承载平台奖项。  请问除了上述报道内容，公司在数字贸易领域还有什么布局和发展战略？	近日，有媒体报道，该司园区--德壁虹桥绿谷WE2020荣获上海虹桥商务区管委会颁发的虹桥商务区全球数字贸易港平台奖。除了上述报道，该公司在数字贸易领域的布局和发展战略是什么？	1
公司的IT柜是否可以应用于数据中心，公司是否能参与到东数西算当中，或者没有有已经参与到其中，公司产品是否具备东数西算的参与条件？谢谢。	公司IT柜是否可在数据中心使用，公司是否能够参与物计算，是否已经参与，公司产品是否具备参与物计算的条件？谢谢。	1
最新公告里说充电桩项目对公司2021年和2022年第一季度影响甚微，强调这个时间节点的话是不是可以这样理解，那充电桩项目已经爬完坡了，会对第二季度乃至2022年整个业绩起到飞跃式提升的作用？请不要回避问题，董秘办要有所作为。	最新公告显示，充电桩项目对公司2021年和2022年一季度影响不大。充电桩项目已经爬完坡，你能理解对二季度和2022年整体业绩产生跳跃式的影响吗？请不要回避这个问题。董建华的秘密事务所应该在做些什么。	1
董秘您好！请问贵公司的药用包装玻璃、耐热玻璃和电光源玻璃等系列产品能否用于新冠疫苗、新冠特效药等使用？谢谢！	董秘你好。你们系列药品包装玻璃、耐热玻璃、电光源玻璃能否用于新冠肺炎疫苗、新冠肺炎特药等？谢谢。	1
请问公司光电产品和中波红外产品今年是否有增长？公司是否掌握短波红外技术？谢谢！	请问今年该公司的光电产品和中波红外产品有没有增加？这家公司掌握短波红外技术吗？谢谢。	1
公司大股东国美控股集团质押的4310万股下个月即将到期，能否按期还款解除质押？是否会造成抛售？	该公司大股东国美控股集团质押的4，310万股股票将于下月到期。能按时偿还贷款，解除质押吗？这会导致抛售吗？	1
您好，请问截止2021年10月31日，贵公司股东人数是多少？谢谢。	您好，截至2021年10月31日，贵公司股东人数是多少？谢谢。	1
你好，公司的上市招股书上提到，公司有临氢工况关键阀门国产化的项目研发，这个项目是怎么样的？公司产品在含有以氢气为介质的项目上是否有应用到？	您好，该公司上市招股说明书中提到，该公司有氢条件下关键阀门国产化的研发项目。这个项目是什么样的？该公司的产品是用于通过氢的项目吗？	1
董秘，您好！首先恭喜贵司成功上市！公司业务在三元材料上已经涵盖了正极所需的镍、钴、锰，请问未来还会开拓锂材料相关业务吗？	董秘你好。首先，恭喜你成功上市。该公司的业务涵盖三元材料中阴极所需的镍、钴和锰。未来与锂材料相关的业务会发展吗？	1
博云新材说成为C919的独家刹车片供应商，属实否？	博云新材成为C919刹车片独家供应商是真的吗？	1
董秘您好，请问第二届"全球6G技术大会”将于2022年3月22日-3月24日在南京重启举办，公司主营移动终端电子产品及电子工业领域的治具及设备的研发与生产，公司具是否具备相关技术储备和开展6G业务？谢谢	董秘，您好。第二届“世界6G技术大会”将于2022年3月22日至3月24日在南京举行。公司主要从事移动终端电子产品和电子工业领域的夹具和设备的研发和生产。公司是否有相关技术储备，开展6G业务？谢谢。	1
董秘您好，请问截止8月20号，贵公司股东人数是多少?谢谢	董秘你好。截至8月20日，贵公司的股东人数是多少？谢谢你，谢谢	1
你好美女董秘,请问现阶段安徽金日盛公司经营状况如何,产能释放怎样,有没有新的产能投放	你好，我是美女董秘。安徽今日盛会公司现阶段经营情况如何？产能释放情况如何？有新的生产能力吗？	1
公司11月30日股东人数是多少	11月30日，该公司的股东数量是多少？	1
你好董秘！请问公司产品是否应用与航空航天领域？主要客户有哪些？	董秘你好。该公司的产品是否在太空领域使用？主要客户是什么？	1
请问公司辽源鸿图作为国内高端湿法锂电池隔膜供应商，是否有PVDF油性涂覆产线？	请问辽源宏图公司作为国内高端湿式锂电池隔板供应商，有PVDF油膜生产线吗？	1
